iso3,country,disaggregation,disagg.value,region,subregion,section,diarrhea_zinc_2005,diarrhea_zinc_2006,diarrhea_zinc_2007,diarrhea_zinc_2008,diarrhea_zinc_2009,diarrhea_zinc_2010,diarrhea_zinc_2011,diarrhea_zinc_2012,diarrhea_zinc_2013,diarrhea_zinc_2014,diarrhea_zinc_2015,diarrhea_zinc_2016,diarrhea_zinc_2017,diarrhea_zinc_2018,diarrhea_zinc_2019,diarrhea_zinc_2020,vit_a_2000,vit_a_2001,vit_a_2002,vit_a_2003,vit_a_2004,vit_a_2005,vit_a_2006,vit_a_2007,vit_a_2008,vit_a_2009,vit_a_2010,vit_a_2011,vit_a_2012,vit_a_2013,vit_a_2014,vit_a_2015,vit_a_2016,vit_a_2017,vit_a_2018,iron_supp_2004,iron_supp_2005,iron_supp_2006,iron_supp_2007,iron_supp_2008,iron_supp_2009,iron_supp_2010,iron_supp_2011,iron_supp_2012,iron_supp_2013,iron_supp_2014,iron_supp_2015,iron_supp_2016,iron_supp_2017,iron_supp_2018,iron_supp_2019,iron_tablets_2000,iron_tablets_2001,iron_tablets_2002,iron_tablets_2003,iron_tablets_2004,iron_tablets_2005,iron_tablets_2006,iron_tablets_2007,iron_tablets_2008,iron_tablets_2009,iron_tablets_2010,iron_tablets_2011,iron_tablets_2012,iron_tablets_2013,iron_tablets_2014,iron_tablets_2015,iron_tablets_2016,iron_tablets_2017,iron_tablets_2018,iron_tablets_2019,iodised_salt_2000,iodised_salt_2001,iodised_salt_2002,iodised_salt_2003,iodised_salt_2004,iodised_salt_2005,iodised_salt_2006,iodised_salt_2007,iodised_salt_2008,iodised_salt_2009,iodised_salt_2010,iodised_salt_2011,iodised_salt_2012,iodised_salt_2013,iodised_salt_2014,iodised_salt_2015,iodised_salt_2016,iodised_salt_2017,iodised_salt_2018
ALB,Albania,total,Total,Europe,Southern Europe,Intervention coverage,,,,,4.5,,,,,,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,34.1,,,,,,,,,66.9,,,78.47,,,,,97.12,,,,90.94,,,,,,,,64.6,
ALB,Albania,wealth,Highest,Europe,Southern Europe,Intervention coverage,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,55.3,,,,,,,,,74.9,,,,,,,,99.52,,,,98.03,,,,,,,,64.7,
ALB,Albania,wealth,Lowest,Europe,Southern Europe,Intervention coverage,,,,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,21.2,,,,,,,,,54.6,,,,,,,,93.17,,,,77.76,,,,,,,,59.3,
ALB,Albania,wealth,Middle,Europe,Southern Europe,Intervention coverage,,,,,,,,,,,,,,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,33.3,,,,,,,,,67,,,,,,,,98.52,,,,93.41,,,,,,,,69.12,
ALB,Albania,wealth,Second highest,Europe,Southern Europe,Intervention coverage,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,,,,,43.2,,,,,,,,,74.4,,,,,,,,97.23,,,,96.99,,,,,,,,65.77,
ALB,Albania,wealth,Second lowest,Europe,Southern Europe,Intervention coverage,,,,,10.3,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,22.9,,,,,,,,,66.1,,,,,,,,96.64,,,,85.93,,,,,,,,63.62,
ARM,Armenia,education,Higher,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,1.4,,,,,24.9,,,,,29.6,,,,,35.5,,,,,42.1,,,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,education,None,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,education,Primary,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,0,,,,,,,,,,,,,,,16.5,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,education,Secondary,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,1.4,,,,,17.9,,,,,14.5,,,,,21.7,,,,,37,,,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,education,Secondary or higher,Asia,Western Asia,Intervention coverage,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,location,Rural,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,0.8,,,,,16.6,,,,,12.7,,,,,16,,,,,36.3,,,,,86.21,,,,,99.01,,,,,,,,,,,99.59,,
ARM,Armenia,location,Urban,Asia,Western Asia,Intervention coverage,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,1.7,,,,,21.4,,,,,21.1,,,,,38.6,,,,,42.6,,,,,92.98,,,,,99.48,,,,,,,,,,,99.28,,
ARM,Armenia,mothers_age,20-34,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,,,,,18.6,,,,,29.5,,,,,39.5,,,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,mothers_age,35-49,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,,,,,12.5,,,,,28.3,,,,,53.5,,,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,mothers_age,Under 20,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3,,,,,15,,,,,27.6,,,,,29.1,,,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,sex,Female,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,90.23,,,,,98.95,,,,,,,,,,,99.21,,
ARM,Armenia,sex,Male,Asia,Western Asia,Intervention coverage,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,90.36,,,,,99.53,,,,,,,,,,,99.48,,
ARM,Armenia,total,Total,Asia,Western Asia,Intervention coverage,,,,,,1,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,1.3,,,,,19.2,,,,,17.9,,,,,29.3,,,,,40,,,,,90.32,,,,,99.32,,,,,,,,,,,99.39,,
ARM,Armenia,wealth,Highest,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,,,1.8,,,,,21.4,,,,,27.5,,,,,45.1,,,,,42.8,,,,,98.49,,,,,99.84,,,,,,,,,,,99.15,,
ARM,Armenia,wealth,Lowest,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,0.9,,,,,11.6,,,,,11.7,,,,,12.7,,,,,31.6,,,,,80.95,,,,,98.22,,,,,,,,,,,99.48,,
ARM,Armenia,wealth,Middle,Asia,Western Asia,Intervention coverage,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,0.4,,,,,22.2,,,,,16.6,,,,,29.4,,,,,40,,,,,87.93,,,,,99.2,,,,,,,,,,,99.35,,
ARM,Armenia,wealth,Second highest,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,2.3,,,,,21.8,,,,,18.8,,,,,38.1,,,,,42.1,,,,,94.18,,,,,99.78,,,,,,,,,,,99.47,,
ARM,Armenia,wealth,Second lowest,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,1,,,,,19.9,,,,,13.6,,,,,20.5,,,,,42.1,,,,,89.25,,,,,99.59,,,,,,,,,,,99.51,,
AZE,Azerbaijan,education,Higher,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,,,,,,,,,,,,,,,,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,education,None,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,education,Primary,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,education,Secondary,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,location,Rural,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,62.62,,,,,,93.91,,,,,,,92.46,,,,,
AZE,Azerbaijan,location,Urban,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,31.7,,,,,,,,,,,,,,64.24,,,,,,94.58,,,,,,,94.34,,,,,
AZE,Azerbaijan,mothers_age,20-34,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,mothers_age,35-49,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,mothers_age,Under 20,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,sex,Female,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.11,,,,,,93.84,,,,,,,94.96,,,,,
AZE,Azerbaijan,sex,Male,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.69,,,,,,94.46,,,,,,,92.92,,,,,
AZE,Azerbaijan,total,Total,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,-,-,-,-,70,94,-,96,90,79,89,-,90,87,58,96,-,41,,,,3.3,,,,,,,,,,,,,,,,,,,,22.6,,,,,,,,,,,,,,63.56,,,,,,94.3,,,,,,,93.43,,,,,
AZE,Azerbaijan,wealth,Highest,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,44.9,,,,,,,,,,,,,,60.59,,,,,,96.04,,,,,,,95.22,,,,,
AZE,Azerbaijan,wealth,Lowest,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,62.83,,,,,,93.1,,,,,,,88.95,,,,,
AZE,Azerbaijan,wealth,Middle,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,16.7,,,,,,,,,,,,,,69.41,,,,,,94.57,,,,,,,93.14,,,,,
AZE,Azerbaijan,wealth,Second highest,Asia,Western Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,38.7,,,,,,,,,,,,,,65.11,,,,,,93.69,,,,,,,94.95,,,,,
