iso3,country,disaggregation,disagg.value,region,subregion,section,adolescent_obesity_2000,adolescent_obesity_2001,adolescent_obesity_2002,adolescent_obesity_2003,adolescent_obesity_2004,adolescent_obesity_2005,adolescent_obesity_2006,adolescent_obesity_2007,adolescent_obesity_2008,adolescent_obesity_2009,adolescent_obesity_2010,adolescent_obesity_2011,adolescent_obesity_2012,adolescent_obesity_2013,adolescent_obesity_2014,adolescent_obesity_2015,adolescent_obesity_2016,adolescent_obesity_2019,adolescent_overweight_2000,adolescent_overweight_2001,adolescent_overweight_2002,adolescent_overweight_2003,adolescent_overweight_2004,adolescent_overweight_2005,adolescent_overweight_2006,adolescent_overweight_2007,adolescent_overweight_2008,adolescent_overweight_2009,adolescent_overweight_2010,adolescent_overweight_2011,adolescent_overweight_2012,adolescent_overweight_2013,adolescent_overweight_2014,adolescent_overweight_2015,adolescent_overweight_2016,adolescent_overweight_2019,adolescent_thinness_2000,adolescent_thinness_2001,adolescent_thinness_2002,adolescent_thinness_2003,adolescent_thinness_2004,adolescent_thinness_2005,adolescent_thinness_2006,adolescent_thinness_2007,adolescent_thinness_2008,adolescent_thinness_2009,adolescent_thinness_2010,adolescent_thinness_2011,adolescent_thinness_2012,adolescent_thinness_2013,adolescent_thinness_2014,adolescent_thinness_2015,adolescent_thinness_2016,adolescent_thinness_2019
ARE,United Arab Emirates,sex,Girls Projection,Asia,Western Asia,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,15.92,,,,,,,,,,,,,,,,,33.17,34.51,,,,,,,,,,,,,,,,,4.61,4.91
ARG,Argentina,sex,Boys,Latin America and the Caribbean,South America,Child and adolescent (aged 5-19) nutrition status,13.28,13.69,14.11,14.55,14.99,15.45,15.91,16.39,16.87,17.36,17.84,18.32,18.81,19.29,19.78,20.27,20.76,,30.01,30.65,31.29,31.95,32.62,33.31,34.01,34.71,35.42,36.13,36.83,37.53,38.23,38.92,39.61,40.29,40.97,,1.28,1.25,1.21,1.18,1.15,1.12,1.09,1.06,1.03,1.01,0.98,0.96,0.94,0.92,0.91,0.9,0.89,
ARG,Argentina,sex,Boys Projection,Latin America and the Caribbean,South America,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,22.29,,,,,,,,,,,,,,,,,40.97,43.13,,,,,,,,,,,,,,,,,0.89,0.87
ARG,Argentina,sex,Girls,Latin America and the Caribbean,South America,Child and adolescent (aged 5-19) nutrition status,9.17,9.37,9.58,9.79,10.01,10.23,10.44,10.67,10.9,11.14,11.38,11.63,11.88,12.13,12.4,12.66,12.94,,26.69,26.99,27.3,27.6,27.9,28.21,28.52,28.84,29.16,29.48,29.81,30.15,30.49,30.83,31.18,31.53,31.89,,1.12,1.1,1.09,1.07,1.05,1.03,1.02,1.01,0.99,0.98,0.98,0.97,0.96,0.96,0.96,0.96,0.97,
ARG,Argentina,sex,Girls Projection,Latin America and the Caribbean,South America,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,31.89,33.02,,,,,,,,,,,,,,,,,0.97,0.99
ARM,Armenia,sex,Boys,Asia,Western Asia,Child and adolescent (aged 5-19) nutrition status,2.81,2.89,2.98,3.08,3.19,3.31,3.43,3.57,3.71,3.86,4.02,4.19,4.36,4.55,4.76,4.97,5.2,,12.93,13.18,13.45,13.73,14.02,14.33,14.65,14.98,15.32,15.68,16.04,16.41,16.79,17.19,17.61,18.04,18.5,,2.6,2.56,2.52,2.48,2.44,2.4,2.37,2.35,2.32,2.3,2.28,2.27,2.26,2.25,2.25,2.25,2.26,
ARM,Armenia,sex,Boys Projection,Asia,Western Asia,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,5.94,,,,,,,,,,,,,,,,,18.5,19.92,,,,,,,,,,,,,,,,,2.26,2.29
ARM,Armenia,sex,Girls,Asia,Western Asia,Child and adolescent (aged 5-19) nutrition status,2.37,2.45,2.52,2.61,2.69,2.79,2.88,2.99,3.09,3.21,3.33,3.45,3.58,3.72,3.87,4.03,4.19,,16.47,16.65,16.84,17.03,17.23,17.43,17.64,17.85,18.06,18.28,18.51,18.74,18.98,19.23,19.49,19.76,20.05,,1.71,1.71,1.7,1.7,1.71,1.71,1.72,1.74,1.75,1.77,1.79,1.82,1.85,1.88,1.91,1.95,1.99,
ARM,Armenia,sex,Girls Projection,Asia,Western Asia,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,4.72,,,,,,,,,,,,,,,,,20.05,20.91,,,,,,,,,,,,,,,,,1.99,2.14
ATG,Antigua and Barbuda,sex,Boys,Latin America and the Caribbean,Caribbean,Child and adolescent (aged 5-19) nutrition status,4.73,5.01,5.31,5.62,5.94,6.28,6.63,7,7.38,7.79,8.21,8.66,9.13,9.63,10.16,10.71,11.29,,13.27,13.87,14.49,15.12,15.78,16.47,17.17,17.91,18.67,19.46,20.29,21.15,22.05,22.98,23.96,24.96,26.01,,4.37,4.3,4.24,4.17,4.11,4.04,3.98,3.92,3.87,3.82,3.77,3.72,3.68,3.64,3.61,3.58,3.56,
ATG,Antigua and Barbuda,sex,Boys Projection,Latin America and the Caribbean,Caribbean,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,12.96,,,,,,,,,,,,,,,,,26.01,28.98,,,,,,,,,,,,,,,,,3.56,3.51
ATG,Antigua and Barbuda,sex,Girls,Latin America and the Caribbean,Caribbean,Child and adolescent (aged 5-19) nutrition status,5.14,5.45,5.76,6.08,6.42,6.77,7.13,7.51,7.9,8.32,8.75,9.21,9.69,10.19,10.72,11.27,11.85,,16.38,16.95,17.52,18.1,18.7,19.31,19.93,20.57,21.24,21.92,22.64,23.38,24.15,24.96,25.79,26.65,27.53,,2.92,2.9,2.89,2.88,2.87,2.87,2.87,2.87,2.88,2.89,2.91,2.92,2.94,2.96,2.98,3.01,3.04,
ATG,Antigua and Barbuda,sex,Girls Projection,Latin America and the Caribbean,Caribbean,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,27.53,29.99,,,,,,,,,,,,,,,,,3.04,3.16
AUS,Australia,sex,Boys,Oceania,Australia and New Zealand,Child and adolescent (aged 5-19) nutrition status,9.84,10.17,10.48,10.78,11.07,11.33,11.59,11.82,12.04,12.24,12.43,12.62,12.79,12.97,13.15,13.32,13.51,,30.23,30.73,31.21,31.67,32.1,32.5,32.87,33.22,33.54,33.83,34.1,34.35,34.6,34.84,35.08,35.32,35.56,,0.96,0.95,0.94,0.93,0.92,0.92,0.91,0.91,0.9,0.89,0.89,0.88,0.88,0.87,0.87,0.87,0.87,
AUS,Australia,sex,Boys Projection,Oceania,Australia and New Zealand,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,14.19,,,,,,,,,,,,,,,,,35.56,36.49,,,,,,,,,,,,,,,,,0.87,0.88
AUS,Australia,sex,Girls,Oceania,Australia and New Zealand,Child and adolescent (aged 5-19) nutrition status,8.86,9.1,9.34,9.55,9.75,9.92,10.08,10.22,10.35,10.47,10.58,10.68,10.79,10.89,11,11.11,11.22,,29.64,30.01,30.34,30.64,30.91,31.14,31.34,31.51,31.66,31.8,31.92,32.04,32.15,32.26,32.37,32.48,32.6,,0.43,0.42,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.41,
AUS,Australia,sex,Girls Projection,Oceania,Australia and New Zealand,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,11.65,,,,,,,,,,,,,,,,,32.6,33.06,,,,,,,,,,,,,,,,,0.41,0.42
AUT,Austria,sex,Boys,Europe,Western Europe,Child and adolescent (aged 5-19) nutrition status,7.96,8.17,8.38,8.59,8.79,9,9.2,9.41,9.61,9.81,10.02,10.22,10.43,10.63,10.84,11.06,11.28,,24.28,24.69,25.09,25.47,25.84,26.2,26.54,26.88,27.2,27.51,27.82,28.12,28.42,28.71,29.01,29.3,29.61,,1.58,1.58,1.59,1.6,1.62,1.64,1.66,1.69,1.73,1.77,1.82,1.87,1.93,2,2.07,2.14,2.23,
AUT,Austria,sex,Boys Projection,Europe,Western Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,29.61,30.67,,,,,,,,,,,,,,,,,2.23,2.46
AUT,Austria,sex,Girls,Europe,Western Europe,Child and adolescent (aged 5-19) nutrition status,3.6,3.71,3.83,3.95,4.08,4.21,4.34,4.48,4.62,4.77,4.93,5.1,5.27,5.45,5.65,5.85,6.06,,19.39,19.66,19.93,20.2,20.45,20.7,20.95,21.19,21.44,21.69,21.94,22.19,22.46,22.72,23,23.29,23.59,,1.93,1.91,1.89,1.88,1.86,1.85,1.83,1.82,1.8,1.79,1.78,1.76,1.75,1.74,1.73,1.72,1.72,
AUT,Austria,sex,Girls Projection,Europe,Western Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,6.72,,,,,,,,,,,,,,,,,23.59,24.52,,,,,,,,,,,,,,,,,1.72,1.72
AZE,Azerbaijan,sex,Boys,Asia,Western Asia,Child and adolescent (aged 5-19) nutrition status,2.15,2.25,2.36,2.49,2.63,2.77,2.93,3.11,3.3,3.5,3.71,3.94,4.18,4.44,4.72,5.02,5.34,,10.95,11.29,11.66,12.05,12.45,12.88,13.33,13.79,14.27,14.76,15.26,15.79,16.33,16.89,17.47,18.06,18.69,,3.75,3.69,3.62,3.56,3.49,3.43,3.37,3.32,3.26,3.21,3.17,3.12,3.08,3.05,3.02,3,2.98,
AZE,Azerbaijan,sex,Boys Projection,Asia,Western Asia,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,6.36,,,,,,,,,,,,,,,,,18.69,20.68,,,,,,,,,,,,,,,,,2.98,2.94
AZE,Azerbaijan,sex,Girls,Asia,Western Asia,Child and adolescent (aged 5-19) nutrition status,1.81,1.9,2,2.11,2.22,2.35,2.48,2.62,2.78,2.94,3.11,3.29,3.48,3.68,3.89,4.11,4.35,,13.68,13.94,14.22,14.51,14.81,15.11,15.43,15.75,16.07,16.41,16.75,17.1,17.46,17.83,18.21,18.6,19.01,,2.55,2.54,2.53,2.52,2.51,2.51,2.51,2.52,2.53,2.54,2.56,2.58,2.6,2.63,2.66,2.69,2.73,
AZE,Azerbaijan,sex,Girls Projection,Asia,Western Asia,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,5.15,,,,,,,,,,,,,,,,,19.01,20.33,,,,,,,,,,,,,,,,,2.73,2.87
BDI,Burundi,sex,Boys,Africa,Eastern Africa,Child and adolescent (aged 5-19) nutrition status,0.16,0.19,0.21,0.24,0.27,0.31,0.35,0.39,0.44,0.5,0.56,0.63,0.71,0.8,0.9,1.02,1.14,,1.88,2.04,2.21,2.39,2.58,2.79,3,3.24,3.48,3.74,4.02,4.32,4.64,4.98,5.35,5.74,6.17,,12.09,11.92,11.75,11.59,11.43,11.27,11.11,10.95,10.8,10.64,10.49,10.34,10.19,10.05,9.91,9.78,9.65,
BDI,Burundi,sex,Boys Projection,Africa,Eastern Africa,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,1.63,,,,,,,,,,,,,,,,,6.17,7.66,,,,,,,,,,,,,,,,,9.65,9.31
BDI,Burundi,sex,Girls,Africa,Eastern Africa,Child and adolescent (aged 5-19) nutrition status,0.44,0.5,0.56,0.63,0.7,0.78,0.87,0.97,1.08,1.2,1.33,1.47,1.62,1.78,1.97,2.16,2.38,,6.01,6.39,6.78,7.19,7.62,8.06,8.52,8.99,9.49,10,10.53,11.08,11.65,12.25,12.87,13.52,14.19,,5.87,5.78,5.7,5.62,5.54,5.46,5.39,5.32,5.25,5.19,5.13,5.07,5.01,4.96,4.91,4.86,4.82,
BDI,Burundi,sex,Girls Projection,Africa,Eastern Africa,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,3.15,,,,,,,,,,,,,,,,,14.19,16.4,,,,,,,,,,,,,,,,,4.82,4.7
BEL,Belgium,sex,Boys,Europe,Western Europe,Child and adolescent (aged 5-19) nutrition status,7.55,7.61,7.67,7.71,7.75,7.78,7.81,7.84,7.86,7.88,7.9,7.93,7.95,7.98,8.02,8.05,8.1,,25.73,25.73,25.71,25.65,25.57,25.46,25.34,25.19,25.03,24.85,24.67,24.48,24.29,24.09,23.9,23.72,23.55,,0.98,0.98,0.98,0.99,1,1.02,1.03,1.06,1.08,1.1,1.13,1.17,1.2,1.24,1.28,1.33,1.38,
BEL,Belgium,sex,Boys Projection,Europe,Western Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,8.27,,,,,,,,,,,,,,,,,23.55,23.17,,,,,,,,,,,,,,,,,1.38,1.54
BEL,Belgium,sex,Girls,Europe,Western Europe,Child and adolescent (aged 5-19) nutrition status,5.56,5.57,5.58,5.58,5.59,5.59,5.59,5.59,5.59,5.6,5.61,5.62,5.63,5.65,5.68,5.71,5.76,,25.7,25.69,25.66,25.61,25.55,25.46,25.37,25.27,25.15,25.04,24.92,24.81,24.7,24.59,24.49,24.39,24.31,,0.59,0.58,0.58,0.58,0.58,0.58,0.58,0.59,0.59,0.59,0.59,0.6,0.6,0.6,0.61,0.62,0.63,
BEL,Belgium,sex,Girls Projection,Europe,Western Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,5.87,,,,,,,,,,,,,,,,,24.31,24.08,,,,,,,,,,,,,,,,,0.63,0.66
BEN,Benin,sex,Boys,Africa,Western Africa,Child and adolescent (aged 5-19) nutrition status,0.31,0.34,0.38,0.42,0.46,0.5,0.55,0.6,0.66,0.72,0.79,0.87,0.95,1.04,1.14,1.26,1.38,,2.65,2.83,3.02,3.22,3.43,3.65,3.88,4.13,4.39,4.66,4.94,5.24,5.56,5.89,6.24,6.62,7.02,,14.01,13.77,13.51,13.25,12.99,12.72,12.45,12.17,11.88,11.6,11.31,11.04,10.76,10.5,10.24,9.99,9.76,
BEN,Benin,sex,Boys Projection,Africa,Western Africa,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,1.83,,,,,,,,,,,,,,,,,7.02,8.4,,,,,,,,,,,,,,,,,9.76,9.11
BEN,Benin,sex,Girls,Africa,Western Africa,Child and adolescent (aged 5-19) nutrition status,1.25,1.36,1.47,1.59,1.72,1.85,1.99,2.14,2.29,2.44,2.61,2.78,2.96,3.15,3.35,3.56,3.79,,8.18,8.56,8.95,9.35,9.76,10.17,10.6,11.04,11.49,11.94,12.41,12.88,13.37,13.87,14.38,14.91,15.45,,5.54,5.42,5.29,5.17,5.05,4.92,4.8,4.68,4.57,4.46,4.35,4.25,4.15,4.06,3.98,3.91,3.84,
BEN,Benin,sex,Girls Projection,Africa,Western Africa,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,4.57,,,,,,,,,,,,,,,,,15.45,17.26,,,,,,,,,,,,,,,,,3.84,3.64
BFA,Burkina Faso,sex,Boys,Africa,Western Africa,Child and adolescent (aged 5-19) nutrition status,0.08,0.09,0.1,0.12,0.14,0.16,0.18,0.21,0.24,0.28,0.33,0.38,0.43,0.5,0.57,0.66,0.76,,1.26,1.38,1.51,1.65,1.81,1.99,2.18,2.38,2.6,2.84,3.09,3.37,3.66,3.98,4.32,4.68,5.07,,14.22,13.97,13.71,13.44,13.17,12.89,12.6,12.31,12.02,11.72,11.43,11.15,10.87,10.6,10.34,10.1,9.86,
BFA,Burkina Faso,sex,Boys Projection,Africa,Western Africa,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,5.07,6.52,,,,,,,,,,,,,,,,,9.86,9.19
BFA,Burkina Faso,sex,Girls,Africa,Western Africa,Child and adolescent (aged 5-19) nutrition status,0.17,0.2,0.23,0.26,0.3,0.34,0.38,0.44,0.49,0.56,0.63,0.71,0.79,0.88,0.99,1.1,1.22,,3.81,4.06,4.34,4.63,4.94,5.27,5.63,6,6.39,6.79,7.21,7.66,8.11,8.59,9.09,9.6,10.13,,8.54,8.36,8.16,7.97,7.76,7.56,7.35,7.15,6.94,6.75,6.55,6.37,6.19,6.02,5.85,5.7,5.56,
BFA,Burkina Faso,sex,Girls Projection,Africa,Western Africa,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,1.71,,,,,,,,,,,,,,,,,10.13,12.01,,,,,,,,,,,,,,,,,5.56,5.15
BGD,Bangladesh,sex,Boys,Asia,Southern Asia,Child and adolescent (aged 5-19) nutrition status,0.65,0.72,0.8,0.88,0.97,1.08,1.19,1.31,1.44,1.59,1.75,1.92,2.11,2.31,2.53,2.77,3.03,,2.85,3.09,3.35,3.63,3.92,4.24,4.58,4.94,5.33,5.74,6.17,6.63,7.12,7.63,8.17,8.74,9.34,,26.92,26.67,26.41,26.15,25.89,25.62,25.35,25.06,24.78,24.49,24.19,23.89,23.58,23.27,22.96,22.65,22.33,
BGD,Bangladesh,sex,Boys Projection,Asia,Southern Asia,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,3.94,,,,,,,,,,,,,,,,,9.34,11.44,,,,,,,,,,,,,,,,,22.33,21.34
BGD,Bangladesh,sex,Girls,Asia,Southern Asia,Child and adolescent (aged 5-19) nutrition status,0.4,0.45,0.51,0.57,0.64,0.72,0.81,0.9,1.01,1.12,1.25,1.39,1.54,1.7,1.87,2.06,2.27,,3.05,3.27,3.51,3.76,4.03,4.32,4.62,4.95,5.29,5.65,6.03,6.43,6.85,7.3,7.76,8.24,8.75,,15.21,15.11,15.01,14.91,14.81,14.7,14.6,14.5,14.4,14.31,14.21,14.11,14.01,13.91,13.81,13.72,13.62,
BGD,Bangladesh,sex,Girls Projection,Asia,Southern Asia,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,3.06,,,,,,,,,,,,,,,,,8.75,10.57,,,,,,,,,,,,,,,,,13.62,13.3
BGR,Bulgaria,sex,Boys,Europe,Eastern Europe,Child and adolescent (aged 5-19) nutrition status,6.16,6.51,6.87,7.25,7.65,8.06,8.49,8.93,9.39,9.87,10.35,10.85,11.37,11.89,12.43,12.99,13.55,,20.66,21.33,22.03,22.74,23.48,24.24,25.02,25.82,26.64,27.47,28.32,29.18,30.05,30.93,31.82,32.71,33.61,,2.65,2.6,2.54,2.48,2.43,2.37,2.31,2.25,2.18,2.12,2.07,2.01,1.95,1.9,1.85,1.81,1.78,
BGR,Bulgaria,sex,Boys Projection,Europe,Eastern Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,15.34,,,,,,,,,,,,,,,,,33.61,36.42,,,,,,,,,,,,,,,,,1.78,1.68
